"股票代码","股票简称","所属概念","所属同花顺行业","所属指数类","股本规模[20190301]","股票市场类型","技术形态[20190304]","选股动向[20190304]","买入信号inter[20190304]","卖出信号inter[20190304]","开盘价:不复权[20190304]","收盘价:不复权[20190304]","最高价:不复权[20190304]","最低价:不复权[20190304]","量比[20190304]","委比[20190304]","概念龙头[20190304]","基本每股收益[20180930]","每股净资产bps[20180930]","换手率[20190304]","股息率(股票获利率)[20171231]","成交量[20190304]","成交额[20190304]","振幅[20190304]","涨跌幅:前复权[20190304]","总股本[20190304]","流通a股[20190304]","总市值[20190304]","a股市值(不含限售股)[20190304]","市盈率(pe,ttm)[20190304]","市盈率(pe)[20190304]","静态市盈率(中证发布)[20190304]","市净率(pb)[20190304]","实际控制人[20190304]","实际控制人类型[20190304]","实际控制人持股比例[20190304]","资金流向[20190304]","归属于母公司所有者的净利润[20180930]","交易状态[20190304]","牛叉诊股综合评分[20190301]","主营产品名称","经营范围","省份","城市"
"002803.SZ","吉宏股份","跨境电商;环保包装;移动互联网;白马股;送转填权;年报预增","轻工制造-包装印刷-包装印刷Ⅲ","新指数;深证A指;中小板综;制造指数;深证综指;中证A股;中证全指","小盘股","深证A股;全部A股;深证上市公司;全部A股(非ST);全部AB股;深证AB股;全部上市公司;中小企业板","缩量||阳线||价升量涨","本月发生大宗交易||本月发生大宗交易||本月发生大宗交易","行情收盘价上穿5日||wr超卖||rsi金叉","行情收盘价下穿5日","40.5","14.32","41.0","40.2","0.44","-9.52","","1.15","4.6202","0.354","0.28767426","162852.0","6630808.4","1.956","-1.105","116000000.00","45903025.00","3559460000.0","1337155120.000","33.824","59.428","38.003","6.969","庄浩","个人","34.43","-616167.32","131350729.05","","6.0","彩色包装纸盒||彩色包装箱||塑料软包||环保纸袋","专业化设计服务；其他未列明专业技术服务业（不含需经许可审批的事项）；包装装潢及其他印刷；本册印制；广告的设计、制作、代理、发布；塑料薄膜制造；其他塑料制品制造；其他未列明制造业（不含须经许可审批的项目）；其他未列明批发业（不含需经许可审批的经营项目）；其他未列明零售业（不含需经许可审批的项目）；印刷专用设备制造；其他专用设备制造（不含需经许可审批的项目）；其他未列明专业设备修理（不含需经许可审批的项目）；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外。","福建省","厦门市"
"002805.SZ","丰元股份","新能源;正极材料;锂电池","化工-基础化学-其他化学原料","深证A指;中小板综;新指数;中证全指;中证A股;深证综指;制造指数","小盘股","深证AB股;全部上市公司;全部A股;深证A股;中小企业板;深证上市公司;全部AB股;全部A股(非ST)","阴线||小阴星||回调缩量","连涨3天||朝阳产业||箱体震荡","wr超卖","行情收盘价下穿5日","23.39","15.35","23.81","23.22","0.96","-22.164","","0.16","5.9766","2.323","0.23931624","1246314.0","29388504.0","2.525","1.053","96913800.00","53623450.00","1568065284.0","927685690.000","55.273","60.094","53.645","2.906","赵光辉","个人","43.54","902394.2","15975365.3","","5.4","工业草酸||精制草酸||草酸衍生品||硝酸钠","硝酸、硝酸钠生产、销售（有效期限以许可证为准）；普通货运（有效期限以许可证为准）；草酸生产、销售；经营进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","山东省","枣庄市"
"000590.SZ","启迪古汉","中医药;健康中国;高校;医保目录;地方国资改革;保健品","医药生物-中药-中药Ⅲ","深证A指;新指数;中证全指;中证A股;深证综指;制造指数","小盘股","深证AB股;深证主板A股;深证A股;全部A股;全部AB股;全部上市公司;全部A股(非ST);深证上市公司","底部缩量||缩量||下降通道","圆弧顶||持续5天缩量||跌破增发价","kdj超卖||wr超卖||skdj超卖","行情收盘价下穿5日","12.46","7.95","12.78","12.36","1.83","64.006","","-0.0468","2.3891","1.01","","2255105.0","28218796.0","3.284","-2.094","239471267.00","223236227.00","1827165767.21","2093955800.000","162.006","153.585","117.651","3.828","清华控股有限公司","地方国有企业","9.6786","-1044908.6","-11208616.98","","4.8","保健品||中药及保健品||古汉养生精(口服液||古汉养生精||中药||中成药||西药||中药保健||中西药||营养保健品||西药类||医药批发零售","销售医疗器械；生产、销售精细化工产品（不含危险品及监控化学品）并提供相关技术转让服务；经营法律法规允许的商品和技术的进出口业务；网络信息科技、系统集成；电子数码产品领域的技术开发、技术转让、技术咨询、技术服务；生物技术推广服务；市场营销策划。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","湖南省","衡阳市"
"002806.SZ","华锋股份","铝材加工;铝电解电容;新能源整车;新能源汽车;有色铝;年报预增","有色金属-有色冶炼加工-铝","中证全指;深证综指;制造指数;深证A指;中小板综;新指数;中证A股","小盘股","深证A股;全部AB股;深证AB股;全部A股;全部A股(非ST);中小企业板;深证上市公司;全部上市公司","阴线||中阴线||放量","重大并购||5日均线大于10日均线||朝阳产业","wr超卖","行情收盘价下穿5日||kdj死叉||rsi死叉","17.61","18.16","18.5","17.61","1.4","-36.022","","0.1701","6.8279","4.474","0.35796742","2512641.0","45568546.0","4.969","-0.711","137105100.00","57691625.00","3510684903.84","1264023500.000","119.503","88.485","120.744","7.910","谭帼英","个人","33.01","2533894.7","23131933.76","","5.2","低压化成箔||高压化成箔||净水剂产品||铝箔||净水剂","从事电解电容器原材料腐蚀赋能铝箔及元器件专用材料、电子元器件产品、高效聚合氯化铝铁净水剂及高效脱色剂、污水处理剂产品的开发、生产、销售和进出口业务;新能源汽车的技术开发、技术推广、技术转让、技术咨询、技术服务;工程和技术研究与试验发展;电动汽车用整车控制器、电驱动与传动系统、功率转换集成控制器、动力电池系统、燃料电池系统及其附件产品研发(含样机制造、检测);生产、销售电动汽车用整车控制器、电驱动与传动系统、功率转换集成控制器、动力电池系统、燃料电池系统等关键零部件及其附件产品;销售:汽车的研发设备、检测设备、生产设备,电子产品,电力储能系统产品,电动汽车基础设施,计算机、软件及辅助设备;货物或技术进出口(国家禁止或涉及行政审批的货物和技术进出口除外);软件开发;仪器仪表维修。","广东省","肇庆市"
"000592.SZ","平潭发展","体育产业;林场改革;生态城乡;美丽中国;金改;风沙治理;融资融券;光伏概念;平潭免税区;福建土改;转融券标的;纤维板;污水处理;赛马概念;福建自贸区;民营医院;证金持股;年报预增","农林牧渔-种植业与林业-林业Ⅲ","农林指数;新指数;深证A指;中证A股;中证全指;中证1000;深证综指","中盘股","深证A股;深证上市公司;深证主板A股;深证AB股;全部上市公司;全部A股(非ST);全部A股;全部AB股","红二兵||底部吸筹||放量","圆弧顶||券商持股（近六个月）||连涨3天","行情收盘价上穿5日||kdj金叉||rsi金叉","行情收盘价下穿5日||rsi死叉","4.47","3.18","4.55","4.44","0.67","-15.698","福建自贸区||美丽中国||赛马概念","0.0414","1.6802","0.657","","12573994.0","56395877.0","2.45","-4.217","1931780892.00","1913324132.00","7862348230.44","5185108400.000","402.819","604.656","931.738","1.646","刘平山","个人","","-9314846.8","79948373.65","","5.9","纤维板||混凝土||典当||bt项目施工||金线莲培育销售业务||农资贸易业务||原木||中密度纤维板||混凝土及建材城开发项目||建材城开发项目||林木原木||医疗||医院||水处理||专科医院||林木产品||金线莲||农资贸易流通||保健品贸易流通","造林营林、林地开发与森林资源综合利用；林木产品加工与销售；建筑材料的制造与销售；园林景观工程、市政工程、室内装饰工程的设计与施工；房屋租赁；物业管理；对外贸易；仓储（不含危险化学品）；公路货运代理；对林业、金融、矿业、医疗业、旅游业的投资；林业技术服务，林业技术咨询；化肥批发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","福建省","福州市"
"002807.SZ","江阴银行","农村金融;深股通","金融服务-银行-银行Ⅲ","深证700;中创500;金融指数;中小300;中证800;新指数;中小板综;深证A指;中证700;中证A股;中小基础;中证全指;深证成指;中创400;深证1000;深证综指;中证500","中盘股","深证上市公司;全部上市公司;中小企业板;全部AB股;深股通;全部A股;深证AB股;全部A股(非ST);深证A股","十字星||缩量||下降通道","本月发生大宗交易||本月发生大宗交易||圆弧顶","kdj超卖||kdj金叉||rsi金叉","dmi死叉","7.87","5.27","7.9","7.83","0.86","24.173","","0.3055","5.4109","1.754","1.20772947","12599644.0","99027862.0","0.887","-1.126","1767354347.00","718293345.00","11629690808.12","3907515800.000","12.161","17.172","12.286","1.024","不详","不详","","-25285231.0","539883000.0","","5.5","流动资金贷款||特色公司贷款||票据贴现||公司存款||结算服务||保函服务||现金管理产品及服务||国际结算||融资业务||个人信贷业务||个人储蓄业务||中间/代理业务||银行卡||货币市场业务||债券市场业务||外汇市场业务||吸收公众存款||发放短期||中期和长期贷款||办理国内结算||办理票据承兑与贴现||代理收付款项及代理保险业务||代理发行||代理兑付||承销政府债券||从事银行卡业务||提供信用证服务与担保||买卖政府债券和金融债券||从事同业拆借||提供保管箱服务||外汇存款||外汇贷款||外汇汇款||外币兑换||结汇||售汇||资信调查||咨询||见证业务||代客外汇买卖业务||公司贷款||中间业务及服务||国际业务||个人银行业务产品和服务||资金业务","吸收公众存款；发放短期、中期和长期贷款；办理国内结算；办理票据承兑与贴现；代理收付款项及代理保险业务；代理发行、代理兑付、承销政府债券；从事银行卡业务，提供信用证服务与担保；买卖政府债券和金融债券；从事同业拆借；提供保管箱服务；外汇存款；外汇贷款；外汇汇款；外币兑换；结汇、售汇；资信调查、咨询、见证业务；代客外汇买卖业务；经银行业监督管理机构批准的其他业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","江苏省","无锡市"
"000593.SZ","大通燃气","供气;抗寒;涉矿;西气东输;雄安新区;小金属概念;黄金概念;天然气;兜底增持;股权转让","公用事业-燃气水务-燃气Ⅲ","新指数;深证A指;中证A股;中证全指;深证综指","小盘股","深证上市公司;全部A股(非ST);全部A股;全部上市公司;深证A股;全部AB股;深证主板A股;深证AB股","阳盖阴||放量||阳线","圆弧顶||5日均线大于10日均线||最新收盘价在60日均线上的","行情收盘价上穿5日||mtm金叉||rsi金叉","行情收盘价下穿5日","7.19","6.89","7.44","7.18","1.65","-40.1","","0.048","3.1378","1.963","","5491104.0","40084073.0","3.591","-1.289","358631009.00","279792362.00","2496071822.64","1969738200.000","144.929","397.877","97.885","2.248","丁立国","个人","29.3436","2877156.7","17376568.49","","5.4","城市管道燃气||零售商业||写字楼||燃气供应","城市管道燃气的开发及投资（不得从事非法集资、吸收公众资金等金融活动）、燃气购销，燃气器材的购销和维修；天然气利用工程建设与经营和相关专业技术服务；仓储服务；实业投资（不得从事非法集资、吸收公众资金等金融活动）；高新科技技术及产品的开发；房地产项目的投资（不得从事非法集资、吸收公众资金等金融活动）及开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","四川省","成都市"
"002810.SZ","山东赫达","","化工-化学制品-其他化学制品","中证全指;深证综指;制造指数;中小板综;深证A指;新兴综指;新指数;中证A股","小盘股","全部A股;中小企业板;深证A股;全部A股(非ST);深证上市公司;全部AB股;全部上市公司;深证AB股","阴线||小阴星||底部缩量","圆弧顶||持续5天缩量||连涨3天","行情收盘价上穿5日||boll突破中轨||dma金叉","行情收盘价下穿5日","21.62","16.35","21.95","21.62","0.57","-40.977","","0.4955","6.181","1.402","","717478.0","15654253.0","1.512","-0.909","119064000.00","61392172.00","2558685360.0","928249640.000","44.562","44.349","39.892","2.544","杨爱菊, 毕于东, 毕心德, 毕文娟","个人, 个人, 个人, 个人","39.440000000000005","-245303.3","56818648.22","","6.1","建材级纤维素醚||医药级纤维素醚||食品级纤维素醚(hpmc)","化工防腐设备、换热器设备、金属结构件的制造、销售、安装；机械设备及电器的安装；水溶性高分子化合物系列产品、双丙酮丙烯酰胺产品、食品添加剂的生产、销售（凭许可证经营）；副产品工业盐、硫酸铵的销售；资格证书范围内自营进出口业务。","山东省","淄博市"
"000595.SZ","宝塔实业","军工;轨道交通;新基建","机械设备-通用设备-机械基础件","深证A指;新指数;中证全指;中证A股;深证综指;制造指数","小盘股","深证AB股;全部AB股;全部上市公司;深证A股;全部A股;深证上市公司;深证主板A股;全部A股(非ST)","假阳线||放量||底部放量","5日均线大于10日均线||股权高度集中||控股股东持股比例大于50%","skdj金叉","行情收盘价下穿5日||cci卖出信号","4.31","3.66","4.35","4.3","0.69","10.137","","-0.01","0.9331","0.498","","2466002.0","10676316.6","1.155","-1.348","764279250.00","754288150.00","2759048092.5","2926638000.000","147.423","104.092","156.179","4.197","孙珩超","个人","23.2359","-1846925.0","-7495809.79","","5.7","高铁轴承||石油机械轴承||武器装备||铁路货车轴承||军工轴承||冶金轧机轴承||重载汽车轴承||工程机械轴承||水泥机械轴承||关节轴承","工业制造；轴承加工；钢材销售；压力管道元件的制造（锻制法兰（限机械加工）的管法兰、压力容器法兰；锻制法兰锻坯的钢制法兰锻坯）；经营本企业自产产品及技术的出口业务；经营本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术的进出口业务（国家限定公司经营和国家禁止出口的商品及技术除外）；经营进料加工和“三来一补”业务。（依法须批准的项目，经相关部门批准后方可开展经营活动）","宁夏回族自治区","银川市"
"002815.SZ","崇达技术","深股通;人民币贬值受益;谷歌概念;柔性屏","电子-半导体及元件-印制电路板","中创500;深证700;深证A指;中小板综;中证800;新指数;中证全指;中证A股;中证700;中小基础;中证500;创新引擎;深证1000;深证综指;深证成指;制造指数;中创400;中小300","小盘股","全部上市公司;全部A股;深股通;全部AB股;深证AB股;中小企业板;全部A股(非ST);深证上市公司;深证A股","聚宝盆||阳盖阴||缩量","基金新进持股比例大于5%||低估值||圆弧顶","行情收盘价上穿5日||rsi金叉||skdj金叉","roc卖出信号","30.5","13.83","31.36","30.5","0.88","13.022","","0.528","3.1462","1.849","1.71102662","1962198.0","60656237.0","2.797","-3.083","829754488.00","216361708.00","14222531080.38","3825275000.000","30.449","28.448","32.674","6.040","姜雪飞, 朱雪花","个人, 个人","66.46000000000001","-2553757.2","432960846.41","","6.1","双面板||高多层板||hdi板||厚铜板||背板||软硬结合板||埋容板||立体板||铝基板||高频板||高端板||中低端板","双面线路板、多层线路板、HDI线路板、特种线路板、柔性线路板的生产（由分支机构经营）和销售；国内贸易，货物及技术进出口业务（按深贸管登证字第2003-703号办理）；线路板研发和技术咨询；信息技术咨询；设计咨询；企业管理咨询；机器设备租赁（不含融资租赁及其他项目）（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）","广东省","深圳市"
"002816.SZ","和科达","污水处理","机械设备-专用设备-其它专用机械","新指数;中小板综;深证A指;中证A股;中证全指;制造指数;深证综指","小盘股","深证上市公司;深证AB股;全部A股(非ST);全部AB股;全部上市公司;中小企业板;深证A股;全部A股","阴线||小阴星||缩量","圆弧顶||持续4天缩量||箱体震荡","行情收盘价上穿5日||kdj超卖||mtm金叉","mtm死叉","16.25","16.60","16.55","16.06","0.98","-7.492","","0.0667","5.2756","1.631","0.12149533","934813.0","15370587.0","3.015","-2.753","100000000.00","57260056.00","1885000000.0","789043570.000","98.793","93.62","98.279","2.610","覃有倘, 邹明, 龙小明","个人, 个人, 个人","32.480000000000004","3173876.3","6670167.12","","5.4","超声波清洗机系列||平板清洗机系列||喷淋机系列||碳氢清洗机系列","国内贸易（不含专营、专卖、专控商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。全系列超声波清洗机、高压喷洗机、碳氢化合物清洗机、电子玻璃平板清洗机、电子玻璃加工设备、工业纯水设备、中水回用设备和工程、污水处理设备和工程、废气处理设备和工程、电镀生产设备以及工控软件、嵌入式软件的开发、设计和销售、工业自动化设备、机器人及相关电子元器件和结构部件的生产加工。","广东省","深圳市"
"000597.SZ","东北制药","医疗改革;手足口病;抗癌;抗艾滋病;振兴东北;炭疽;达菲;生物医药;医保目录;禽流感;维生素;深股通;流感;年报预增","医药生物-化学制药-化学原料药","深证1000;深证综指;制造指数;中证全指;中证A股;深证A指;新兴综指;新指数;深证700;中小创新","中盘股","深证主板A股;深证A股;全部AB股;全部A股;全部上市公司;深证AB股;深证上市公司;全部A股(非ST);深股通","阴线||回调缩量||缩量","持续5天缩量||箱体震荡||预告净利润变动幅度超过100","wr超卖","行情收盘价下穿5日","10.05","10.82","10.26","9.98","1.09","14.559","","0.297","6.0016","1.145","","5422226.0","54994511.0","2.745","0.185","569586081.00","473378322.00","7377468834.15","5751546600.000","49.234","45.245","66.343","2.049","方威","个人","26.0186","-10601964.0","156712405.94","","6.0","制剂药||金刚烷胺||整肠生||磷霉素钠||制剂药销售||vc系列||原料药销售||司他夫定||脑复康||原料药||生物疫苗||维生素c||制剂||医院||中成药||疫苗||维生素||抗生素类||维生素类||心脑血管类||消化系统类||麻醉药品类||计生药品类||生物诊断试剂类||医药制剂||医药商业","许可经营项目：原料药、无菌原料药、食品添加剂、饲料添加剂、危险化学品生产（以上经营范围按生产许可证规定项目及地址从事生产经营活动）；一般经营项目：医药中间体副产品、包装材料、化工产品（不含危险化学品）、化妆品制造；医药新产品开发、技术咨询服务、成果转让；厂房、设备租赁，自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）","辽宁省","沈阳市"
"002817.SZ","黄山胶囊","医疗器械概念","医药生物-中药-中药Ⅲ","中小板综;深证A指;新指数;中证全指;中证A股;深证综指;制造指数","小盘股","全部AB股;深证上市公司;深证AB股;中小企业板;全部A股(非ST);深证A股;全部上市公司;全部A股","放量||底部放量||小三阳","圆弧顶||连续3天的dde大单净额大于0||5日均线大于10日均线","boll突破中轨||dma金叉","行情收盘价下穿5日","27.3","18.85","28.2","27.3","1.48","-34.821","","0.33","7.9083","1.118","0.35818951","464530.0","12942032.4","3.28","3.231","86670000.00","41540000.00","1677931200.0","759766600.000","44.799","52.278","38.238","2.341","余春明, 余超彪","个人, 个人","44.02","3830952.4","28844578.01","","5.4","明胶空心胶囊||肠溶明胶空心胶囊","药用空心胶囊制造、销售，企业自产药用空心胶囊出口、企业生产、科研所需的原辅材料机械设备、仪器仪表及零配件进口。","安徽省","宣城市"
"000601.SZ","韶能股份","低碳;光伏概念;垃圾发电;新能源;生态农业;充电桩;生物质能;新能源汽车;宝能系;纸浆","公用事业-电力-水电","水电指数;中小创新;中证A股;中证1000;中证全指;新指数;深证A指;深证700;深证综指;深证1000","中盘股","深证AB股;全部AB股;深证A股;全部A股;深证主板A股;全部上市公司;全部A股(非ST);深证上市公司","十字星||底部缩量||缩量","低估值||圆弧顶||5日均线大于10日均线","rsi金叉||vr买入信号","行情收盘价下穿5日","6.8","3.97","6.84","6.75","1.41","7.302","","0.2487","4.1523","0.321","3.05555556","3464320.0","23583510.0","1.326","-0.501","1080551669.00","1079832057.00","4873288027.19","4589286200.000","13.866","12.735","13.163","1.039","不详","不详","","1849805.5","268708577.73","","5.8","纸制品||汽车零配件||纸||水泥||环保纸餐具||纸浆||电力||生物质发电||清洁能源","能源开发；货物和技术进出口；销售：机电产品、仪表仪器、建筑材料、装饰材料、金属材料、矿产品、五金家电、针纺织品、重油（代购）；以下项目由下属分支机构经营：电力生产、销售；制造、销售：纸浆、纸浆板、纸及纸制品（以上经营项目法律、法规禁止的项目除外，法律、法规限制的项目取得许可后方可经营）。","广东省","韶关市"
"002821.SZ","凯莱英","抗癌;生物医药;深股通;创新药","医药生物-化学制药-化学原料药","中小板综;新兴综指;新指数;中创500;深证300;中小300;新兴成指;深证综指;深证1000;中小板指;制造指数;深证成指;深证创新;中创400;中证1000;中证全指;中证A股;中小基础;深证200;SME创新;深证A指","中盘股","中小企业板;深证A股;深证AB股;全部A股(非ST);全部A股;深股通;全部AB股;深证上市公司;全部上市公司","长下影线||放量||下降通道","基金新进持股比例大于5%||成长股||圆弧顶","kdj金叉||rsi底背离||skdj金叉","行情收盘价下穿5日||dma死叉","63.1","73.00","64.23","62.41","1.14","27.481","","1.15","10.0278","2.097","0.58477499","2500903.0","159349280.0","2.895","1.898","230102706.00","120938260.00","20810839097.4","8343530600.000","49.877","42.844","51.982","7.411","Hao Hong","境外","33.9787","47134161.0","260898703.74","","5.8","治疗丙肝||囊性纤维化||前列腺癌||骨髓瘤||软组织肉瘤||白血病||部分罕见病新药||头孢联用新药第三线抗生素培南类药物||降血脂他汀类药物||降血糖格列酮类药物和第二代抗艾滋病药物||临床阶段药品||商业化阶段药品||技术服务","开发、生产、销售高新医药原料及中间体和生物技术产品，制剂研发，相关设备、配件的进出口、批发零售业务（不设店铺）以及上述相关技术咨询服务和技术转让。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","天津市","滨海新区"
"000603.SZ","盛达矿业","参股民营银行;涉矿;铅;锌;白银;深股通;文化传媒;小金属概念","有色金属-有色冶炼加工-铅锌","新指数;深证700;深证综指;深证1000;中小创新;采矿指数;中证1000;中证全指;中证A股;深证A指","中盘股","全部上市公司;深证AB股;全部A股;深证上市公司;深股通;全部AB股;全部A股(非ST);深证A股;深证主板A股","阴线||小阴星||缩量","圆弧顶||重大并购||优质股","cr金叉","行情收盘价下穿5日","12.06","9.29","12.28","12.04","0.69","67.148","","0.37","3.9006","0.623","","2560101.0","31145856.0","1.972","-1.380","689969346.00","393246877.00","7720756981.74","2870702200.000","22.07","36.199","26.391","1.972","赵满堂","个人","30.3785","-3709803.8","252933585.62","","6.2","锌精粉||铅精粉||租赁业务||白银||银矿||金融租赁||含银铅精粉||托管","销售矿产品、化工产品；矿山工程技术咨询、技术开发；投资及资产管理（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）","北京市","大兴区"
"002822.SZ","中装建设","绿色建筑;PPP概念","建筑材料-建筑装饰-装饰园林","中证A股;中小基础;深证综指;建筑指数;中小板综;深证A指;新指数;中证全指;中证1000","小盘股","深证上市公司;全部AB股;深证A股;全部A股(非ST);中小企业板;全部上市公司;深证AB股;全部A股","缩量||下降通道||阳线","圆弧顶||持续5天缩量||连涨3天","行情收盘价上穿5日||kdj金叉||macd金叉","行情收盘价下穿5日","7.05","5.36","7.26","7.03","2.02","-51.581","","0.22","3.5637","2.317","0.63694268","7090416.0","50916464.0","3.253","-0.557","600000000.00","306060000.00","3546000000.0","1652724000.000","20.742","26.37","21.798","1.553","庄小红, 庄展诺, 庄重","个人, 个人, 个人","45.24","11874493.8","132861932.85","","5.7","公共建筑装饰||住宅精装修||设计业务||园林业务","建筑装修装饰工程专业承包壹级；电子与智能化工程专业承包壹级；建筑机电安装工程专业承包壹级；建筑幕墙工程专业承包壹级；防水防腐保温工程专业承包壹级（以上均按建设部D244023230号建筑业企业资质证书经营）；消防设施工程专业承包贰级、建筑工程施工总承包叁级（凭建设部D344045053号建筑业企业资质证书经营）；安全技术防范系统设计、施工、维修贰级（凭广东省公安厅粤GB765号广东省安全技术防范系统设计、施工、维修资格证经营）；建筑装饰工程设计专项甲级（凭建设部A144002493工程设计资质证书经营）；建筑智能化系统设计专项乙级；建筑幕墙工程设计专项乙级；消防设施工程设计专项乙级（以上均按建设部A244002490工程设计资质证书经营）；音、视频工程企业资质特级（凭中国录音师协会NO.A074041资质证书经营）；净化工程叁级（凭洁净行业协会SZCA1128号资质证书经营）；展览陈列工程设计与施工一体化一级（凭中国展览馆协会C20171457资质证书经营）；承装类、承修类电力设施许可证肆级（凭国家能源局南方监管局6-1-00265-2017资质证书经营）；园林绿化、灯光音响、舞台设备安装，建筑智能化产品的技术开发；国内贸易（不含专营、专卖、专控商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营。","广东省","深圳市"
"002824.SZ","和胜股份","新能源汽车;有色铝;锂电池","有色金属-有色冶炼加工-铝","中证全指;制造指数;深证综指;新指数;深证A指;中小板综;中证A股","小盘股","深证A股;深证AB股;全部A股(非ST);全部AB股;深证上市公司;全部上市公司;中小企业板;全部A股","阴线||缩量||底部吸筹","圆弧顶||持续5天缩量||连涨3天","boll突破中轨","行情收盘价下穿5日","14.98","9.27","15.33","14.91","0.83","-19.551","","0.14","4.2172","2.252","0.33070089","1667128.0","25199777.0","2.787","-0.537","183623100.00","73953555.00","1922533857.0","758763470.000","38.838","41.641","32.362","2.483","李建湘","个人","29.98","892973.7","25968009.61","","5.7","激光打印机/复印机感光鼓鼓基||激光打印机/复印机驱动辊||激光打印机/复印机加热辊||照相机镜筒||照相机三脚架用铝管||电脑磁头驱动臂铝材||手电筒铝质外壳||消费类电子产品铝质外壳||监控器铝质外壳||平板电视铝质边框||平板电脑铝质外壳||移动电源外壳||淋浴房部件||婴儿车部件||厨卫用品部件||割草机部件||空调机部件||铝质棒球棒||吸尘器部件||电热铝管||雪鞋边框||热交换器多孔扁管||减震器部件||电动汽车电池外壳||天窗导轨","加工、生产、销售：铝合金型材及其制品、模具、五金零部件、金属材料（不含金银及炼钢）。货物进出口、技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）；以下项目由分支机构经营；金属表面处理。（依法须经批准的项目，经有关部门批准后方可开展经营活动。）","广东省","中山市"
"000608.SZ","阳光股份","东盟北部湾;北京环球影城;国际板","房地产-房地产开发-房地产开发Ⅲ","新指数;地产指数;深证综指;中证A股;中证全指;深证A指","中盘股","全部A股;深证上市公司;全部AB股;深证AB股;全部上市公司;全部A股(非ST);深证主板A股;深证A股","阴线||回调缩量||缩量","优质股||持续5天缩量||轻资产","kdj超卖||kdj金叉||wr超卖","skdj死叉","7.05","5.39","7.15","6.99","0.7","-11.846","","-0.01","3.9432","0.802","0.47770701","6016127.0","42545196.0","2.27","-0.370","749913309.00","749801859.00","4394491990.74","3314124200.000","22.568","13.172","23.231","1.097","不详","不详","","4664787.6","-5903000.0","","5.2","天津杨柳青鹭岭景园项目一期||北京阳光上东项目||北京阳光丽景项目||商业出租||业务||写字楼出租业务||北京878商务中心||上海松江路项目||阳光上东||地产租赁||盛世嘉园||北京阳光丽景||写字楼出租||成都锦尚中心||房屋销售||物业管理服务||商业地产运营||房地产开发与销售||投资性房地产出租||资产管理服务||房地产||投资性房地产","房地产开发、自有商品房的租赁以及相关的咨询服务等。","广西壮族自治区","南宁市"
"002825.SZ","纳尔股份","创投;年报预增","化工-化工合成材料-其他塑料制品","深证A指;中小板综;新指数;中证全指;中证A股;深证综指;制造指数","小盘股","全部上市公司;中小企业板;深证A股;全部A股;深证上市公司;全部A股(非ST);全部AB股;深证AB股","光脚阳线||缩量||下降通道","光脚阳线||圆弧顶||持续5天缩量","行情收盘价上穿5日||dmi金叉||rsi金叉","kdj死叉","21.06","15.05","21.52","21.05","1.29","5.595","","0.35","4.3405","4.081","0.39327671","1193057.0","25481690.0","2.232","-1.954","140282730.00","40923414.00","2202438861.0","573337030.000","45.09","57.373","56.678","3.345","游爱国","个人","34.5265","3407346.5","49734995.22","","5.5","车身贴||单透膜||涂层喷印材料||贴合喷印材料","数码喷绘材料、广告材料及广告器材的制造、加工；数码喷绘材料、广告材料及广告器材、五金家电、汽车配件、装饰材料、化工原料（除危险品）的销售；设计、制作各类广告；经济信息咨询，投资管理；数码喷绘产品的研发；从事货物与技术的进出口业务。","上海市","浦东新区"
